date,sunrise_start,sunrise_end,sunset_start,sunset_end,duration_minutes
2022-01-01T00:00:00+01:00,2022-01-01T08:06:00+01:00,2022-01-01T08:45:00+01:00,2022-01-01T17:27:00+01:00,2022-01-01T16:48:00+01:00,39
2022-01-02T00:00:00+01:00,2022-01-02T08:06:00+01:00,2022-01-02T08:45:00+01:00,2022-01-02T17:28:00+01:00,2022-01-02T16:49:00+01:00,39
2022-01-03T00:00:00+01:00,2022-01-03T08:06:00+01:00,2022-01-03T08:45:00+01:00,2022-01-03T17:29:00+01:00,2022-01-03T16:50:00+01:00,39
2022-01-04T00:00:00+01:00,2022-01-04T08:05:00+01:00,2022-01-04T08:44:00+01:00,2022-01-04T17:30:00+01:00,2022-01-04T16:51:00+01:00,39
2022-01-05T00:00:00+01:00,2022-01-05T08:05:00+01:00,2022-01-05T08:44:00+01:00,2022-01-05T17:31:00+01:00,2022-01-05T16:52:00+01:00,39
2022-01-06T00:00:00+01:00,2022-01-06T08:05:00+01:00,2022-01-06T08:44:00+01:00,2022-01-06T17:32:00+01:00,2022-01-06T16:53:00+01:00,39
2022-01-07T00:00:00+01:00,2022-01-07T08:05:00+01:00,2022-01-07T08:43:00+01:00,2022-01-07T17:33:00+01:00,2022-01-07T16:55:00+01:00,39
2022-01-08T00:00:00+01:00,2022-01-08T08:04:00+01:00,2022-01-08T08:43:00+01:00,2022-01-08T17:34:00+01:00,2022-01-08T16:56:00+01:00,39
2022-01-09T00:00:00+01:00,2022-01-09T08:04:00+01:00,2022-01-09T08:42:00+01:00,2022-01-09T17:36:00+01:00,2022-01-09T16:57:00+01:00,38
2022-01-10T00:00:00+01:00,2022-01-10T08:04:00+01:00,2022-01-10T08:42:00+01:00,2022-01-10T17:37:00+01:00,2022-01-10T16:59:00+01:00,38
2022-01-11T00:00:00+01:00,2022-01-11T08:03:00+01:00,2022-01-11T08:41:00+01:00,2022-01-11T17:38:00+01:00,2022-01-11T17:00:00+01:00,38
2022-01-12T00:00:00+01:00,2022-01-12T08:03:00+01:00,2022-01-12T08:41:00+01:00,2022-01-12T17:39:00+01:00,2022-01-12T17:01:00+01:00,38
2022-01-13T00:00:00+01:00,2022-01-13T08:02:00+01:00,2022-01-13T08:40:00+01:00,2022-01-13T17:41:00+01:00,2022-01-13T17:03:00+01:00,38
2022-01-14T00:00:00+01:00,2022-01-14T08:01:00+01:00,2022-01-14T08:39:00+01:00,2022-01-14T17:42:00+01:00,2022-01-14T17:04:00+01:00,38
2022-01-15T00:00:00+01:00,2022-01-15T08:01:00+01:00,2022-01-15T08:39:00+01:00,2022-01-15T17:44:00+01:00,2022-01-15T17:06:00+01:00,38
2022-01-16T00:00:00+01:00,2022-01-16T08:00:00+01:00,2022-01-16T08:38:00+01:00,2022-01-16T17:45:00+01:00,2022-01-16T17:07:00+01:00,38
2022-01-17T00:00:00+01:00,2022-01-17T07:59:00+01:00,2022-01-17T08:37:00+01:00,2022-01-17T17:46:00+01:00,2022-01-17T17:09:00+01:00,37
2022-01-18T00:00:00+01:00,2022-01-18T07:59:00+01:00,2022-01-18T08:36:00+01:00,2022-01-18T17:48:00+01:00,2022-01-18T17:10:00+01:00,37
2022-01-19T00:00:00+01:00,2022-01-19T07:58:00+01:00,2022-01-19T08:35:00+01:00,2022-01-19T17:49:00+01:00,2022-01-19T17:12:00+01:00,37
2022-01-20T00:00:00+01:00,2022-01-20T07:57:00+01:00,2022-01-20T08:34:00+01:00,2022-01-20T17:51:00+01:00,2022-01-20T17:14:00+01:00,37
2022-01-21T00:00:00+01:00,2022-01-21T07:56:00+01:00,2022-01-21T08:33:00+01:00,2022-01-21T17:52:00+01:00,2022-01-21T17:15:00+01:00,37
2022-01-22T00:00:00+01:00,2022-01-22T07:55:00+01:00,2022-01-22T08:32:00+01:00,2022-01-22T17:54:00+01:00,2022-01-22T17:17:00+01:00,37
2022-01-23T00:00:00+01:00,2022-01-23T07:54:00+01:00,2022-01-23T08:31:00+01:00,2022-01-23T17:55:00+01:00,2022-01-23T17:19:00+01:00,37
